algo,n,trial,time_ms,comparisons,swaps,array_accesses,allocations,max_depth,extra
mergesort,10000,1,3.2298,143408,0,380184,1,10,
mergesort,10000,2,1.5529,143310,0,379844,1,10,
quicksort,10000,1,4.4757,141777,20303,295090,0,25,
quicksort,10000,2,1.3192,130579,21021,286047,0,24,
select,10000,1,2.0073,0,0,0,0,14,k=5000;val=5055042
select,10000,2,2.3145,0,0,0,0,13,k=5000;val=-17688170
closest,10000,1,0.0,68781,0,0,1,13,dist=3.3342402984936315E-5
closest,10000,2,0.0,66087,0,0,1,13,dist=1.1171115362786258E-4
mergesort,20000,1,6.8719,306716,0,820028,1,11,
mergesort,20000,2,6.7201,306593,0,819726,1,11,
quicksort,20000,1,14.009,290943,45775,616598,0,27,
quicksort,20000,2,21.3892,278906,46564,606961,0,28,
select,20000,1,0.9703,0,0,0,0,15,k=10000;val=-6709637
select,20000,2,0.8524,0,0,0,0,15,k=10000;val=5308436
closest,20000,1,0.0,160148,0,0,1,14,dist=3.3342402984936315E-5
closest,20000,2,0.0,160560,0,0,1,14,dist=2.2040225350405514E-5
mergesort,50000,1,9.5763,880985,0,2325628,1,12,
mergesort,50000,2,10.0976,880445,0,2324738,1,12,
quicksort,50000,1,28.9566,849474,128033,1716093,0,30,
quicksort,50000,2,32.5287,803563,130723,1683522,0,30,
select,50000,1,1.8698,0,0,0,0,16,k=25000;val=506082
select,50000,2,2.1222,0,0,0,0,15,k=25000;val=1846212
closest,50000,1,0.0,458296,0,0,1,15,dist=2.6665127318338706E-5
closest,50000,2,0.0,455066,0,0,1,15,dist=2.998502734761965E-5
